"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US48209010302","Census Tract 103.02, Hays County, Texas","5012","537"
"1400000US48339691302","Census Tract 6913.02, Montgomery County, Texas","5700","583"
"1400000US48201250301","Census Tract 2503.01, Harris County, Texas","10953","1028"
"1400000US48157671800","Census Tract 6718, Fort Bend County, Texas","3384","373"
"1400000US48029160200","Census Tract 1602, Bexar County, Texas","2995","320"
"1400000US48113013716","Census Tract 137.16, Dallas County, Texas","5260","402"
"1400000US48201423500","Census Tract 4235, Harris County, Texas","1993","181"
"1400000US48113010904","Census Tract 109.04, Dallas County, Texas","3902","384"
"1400000US48085030513","Census Tract 305.13, Collin County, Texas","9977","864"
"1400000US48201511200","Census Tract 5112, Harris County, Texas","5225","396"
"1400000US48091310604","Census Tract 3106.04, Comal County, Texas","2866","378"
"1400000US48201333300","Census Tract 3333, Harris County, Texas","10546","807"
"1400000US48089750500","Census Tract 7505, Colorado County, Texas","3890","623"
"1400000US48251130212","Census Tract 1302.12, Johnson County, Texas","5061","496"
"1400000US48201343302","Census Tract 3433.02, Harris County, Texas","4978","389"
"1400000US48113007902","Census Tract 79.02, Dallas County, Texas","5206","405"
"1400000US48381020200","Census Tract 202, Randall County, Texas","2206","188"
"1400000US48479001818","Census Tract 18.18, Webb County, Texas","3248","23"
"1400000US48439113907","Census Tract 1139.07, Tarrant County, Texas","9470","1199"
"1400000US48121021523","Census Tract 215.23, Denton County, Texas","3947","334"
"1400000US48449950500","Census Tract 9505, Titus County, Texas","2698","340"
"1400000US48049950600","Census Tract 9506, Brown County, Texas","2273","257"
"1400000US48309001200","Census Tract 12, McLennan County, Texas","2820","361"
"1400000US48121020112","Census Tract 201.12, Denton County, Texas","3697","327"
"1400000US48257050600","Census Tract 506, Kaufman County, Texas","7261","625"
"1400000US48113012601","Census Tract 126.01, Dallas County, Texas","6209","615"
"1400000US48187210607","Census Tract 2106.07, Guadalupe County, Texas","9113","679"
"1400000US48183010100","Census Tract 101, Gregg County, Texas","5648","432"
"1400000US48201240400","Census Tract 2404, Harris County, Texas","8110","662"
"1400000US48201411900","Census Tract 4119, Harris County, Texas","3173","371"
"1400000US48309003900","Census Tract 39, McLennan County, Texas","9293","608"
"1400000US48027023402","Census Tract 234.02, Bell County, Texas","4911","432"
"1400000US48029181731","Census Tract 1817.31, Bexar County, Texas","7908","581"
"1400000US48343950100","Census Tract 9501, Morris County, Texas","4525","393"
"1400000US48277001000","Census Tract 10, Lamar County, Texas","3578","392"
"1400000US48245000307","Census Tract 3.07, Jefferson County, Texas","3936","337"
"1400000US48469000201","Census Tract 2.01, Victoria County, Texas","2958","502"
"1400000US48199030600","Census Tract 306, Hardin County, Texas","4154","436"
"1400000US48141010213","Census Tract 102.13, El Paso County, Texas","8533","506"
"1400000US48113014123","Census Tract 141.23, Dallas County, Texas","6120","294"
"1400000US48085031634","Census Tract 316.34, Collin County, Texas","3485","361"
"1400000US48215021305","Census Tract 213.05, Hidalgo County, Texas","7794","513"
"1400000US48121021621","Census Tract 216.21, Denton County, Texas","3642","283"
"1400000US48201531000","Census Tract 5310, Harris County, Texas","3905","218"
"1400000US48113000300","Census Tract 3, Dallas County, Texas","4231","560"
"1400000US48115950401","Census Tract 9504.01, Dawson County, Texas","4237","338"
"1400000US48439106513","Census Tract 1065.13, Tarrant County, Texas","3360","366"
"1400000US48155950100","Census Tract 9501, Foard County, Texas","1408","137"
"1400000US48439102000","Census Tract 1020, Tarrant County, Texas","2966","315"
"1400000US48303010700","Census Tract 107, Lubbock County, Texas","3512","357"
"1400000US48201412800","Census Tract 4128, Harris County, Texas","5261","304"
"1400000US48201310400","Census Tract 3104, Harris County, Texas","3554","550"
"1400000US48201554801","Census Tract 5548.01, Harris County, Texas","17427","1657"
"1400000US48167720100","Census Tract 7201, Galveston County, Texas","5769","326"
"1400000US48215020202","Census Tract 202.02, Hidalgo County, Texas","6921","726"
"1400000US48201540601","Census Tract 5406.01, Harris County, Texas","4128","387"
"1400000US48367140705","Census Tract 1407.05, Parker County, Texas","7855","571"
"1400000US48441013000","Census Tract 130, Taylor County, Texas","1101","244"
"1400000US48439105511","Census Tract 1055.11, Tarrant County, Texas","6319","580"
"1400000US48121021736","Census Tract 217.36, Denton County, Texas","2368","291"
"1400000US48201240600","Census Tract 2406, Harris County, Texas","2792","323"
"1400000US48217960400","Census Tract 9604, Hill County, Texas","1959","245"
"1400000US48141000108","Census Tract 1.08, El Paso County, Texas","2429","283"
"1400000US48245006100","Census Tract 61, Jefferson County, Texas","1161","214"
"1400000US48439102302","Census Tract 1023.02, Tarrant County, Texas","5449","633"
"1400000US48329010108","Census Tract 101.08, Midland County, Texas","3807","426"
"1400000US48085030201","Census Tract 302.01, Collin County, Texas","3285","318"
"1400000US48121021527","Census Tract 215.27, Denton County, Texas","7121","398"
"1400000US48303000605","Census Tract 6.05, Lubbock County, Texas","937","158"
"1400000US48113017703","Census Tract 177.03, Dallas County, Texas","5168","495"
"1400000US48113016615","Census Tract 166.15, Dallas County, Texas","4335","377"
"1400000US48141010327","Census Tract 103.27, El Paso County, Texas","3573","321"
"1400000US48055960600","Census Tract 9606, Caldwell County, Texas","2256","269"
"1400000US48491020706","Census Tract 207.06, Williamson County, Texas","4414","241"
"1400000US48459950200","Census Tract 9502, Upshur County, Texas","4341","394"
